system,plugin,elapsed_s,n_sites,n_valid,best_eads,eads_min,eads_p25,eads_median,eads_mean,eads_p75,eads_max,eads_std
H2/Ru(0001),auto,50.062,216,12,-0.18334102630615234,-0.18334102630615234,-0.18334102630615234,-0.18334102630615234,-0.18334102630615234,-0.18334102630615234,-0.18334102630615234,0.0
H2/Ru(0001),adaptive_grid,94.253,452,12,-0.46715450286865234,-0.46715450286865234,-0.46663570404052734,-0.31731319427490234,-0.32249101003011066,-0.18382930755615234,-0.18248653411865234,0.1390172611397452
H2/Pt13,auto,11.485,62,12,-0.1788320541381836,-0.1788320541381836,-0.17882442474365234,-0.17882442474365234,-0.17882506052652994,-0.17882442474365234,-0.17882442474365234,2.1086532531454724e-06
H2/Pt13,adaptive_grid,19.183,524,12,-0.5420064926147461,-0.5420064926147461,-0.5417680740356445,-0.5415525436401367,-0.5400451024373373,-0.5406770706176758,-0.5329427719116211,0.003159175050453813
CO2/MOF,auto,372.464,1117,5,-0.22463417053222656,-0.22463417053222656,-0.20900917053222656,-0.18728065490722656,-0.18366737365722657,-0.15676307678222656,-0.14064979553222656,0.03133015842450045
CO2/MOF,adaptive_grid,352.443,512,2,-0.21975135803222656,-0.21975135803222656,-0.21743202209472656,-0.21511268615722656,-0.21511268615722656,-0.21279335021972656,-0.21047401428222656,0.004638671875
